CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
218	19780	Des Moines-West Des Moines, IA Metro Area	1	7468341905	73225332	    2883.543	      28.272	 41.544860	 -93.943487                                                                              
220	19820	Detroit-Warren-Dearborn, MI Metro Area	1	10072723936	897371163	    3889.101	     346.477	 42.721848	 -83.200846                                                                               
221	19940	Dixon, IL Micro Area	2	1877371253	10599322	     724.857	       4.092	 41.747442	 -89.299351                                                                                                   
222	20020	Dothan, AL Metro Area	1	4444484340	33443449	    1716.025	      12.913	 31.245525	 -85.469190                                                                                                  
428	20100	Dover, DE Metro Area	1	1518566893	549101617	     586.322	     212.009	 39.097088	 -75.502982                                                                                                  
524	20180	DuBois, PA Micro Area	2	2964701490	23932649	    1144.678	       9.240	 41.000249	 -78.473749                                                                                                  
450	20380	Dunn, NC Micro Area	2	1541077415	16400845	     595.013	       6.332	 35.368635	 -78.871610                                                                                                    
206	20460	Durant, OK Micro Area	2	2342528102	102267145	     904.455	      39.486	 33.964004	 -96.264137                                                                                                 
450	20500	Durham-Chapel Hill, NC Metro Area	1	4552498297	141077182	    1757.729	      54.470	 35.995536	 -79.096990                                                                                     
548	20660	Easton, MD Micro Area	2	695519249	539405840	     268.541	     208.266	 38.748352	 -76.178480                                                                                                  
408	20700	East Stroudsburg, PA Metro Area	1	1575385119	22867226	     608.260	       8.829	 41.056240	 -75.329065                                                                                        
232	20740	Eau Claire, WI Metro Area	1	4263831056	104078615	    1646.274	      40.185	 44.938029	 -91.285538                                                                                             
233	20780	Edwards, CO Micro Area	2	4362874882	18849997	    1684.515	       7.278	 39.626992	-106.695169                                                                                                 
288	20900	El Campo, TX Micro Area	2	2813116856	21288266	    1086.151	       8.219	 29.278480	 -96.229674                                                                                                
545	21020	Elizabeth City, NC Micro Area	2	1850164805	554687567	     714.353	     214.166	 36.265184	 -76.260696                                                                                         
350	21060	Elizabethtown-Fort Knox, KY Metro Area	1	3082745500	72534139	    1190.255	      28.006	 37.732980	 -85.972171                                                                                 
515	21140	Elkhart-Goshen, IN Metro Area	1	1199614702	12423390	     463.174	       4.797	 41.600693	 -85.863986                                                                                          
236	21300	Elmira, NY Metro Area	1	1055038643	8874334	     407.353	       3.426	 42.155280	 -76.747179                                                                                                   
238	21340	El Paso, TX Metro Area	1	14461750010	7633474	    5583.713	       2.947	 31.527394	-105.521333                                                                                                 
222	21460	Enterprise, AL Micro Area	2	1758565487	3907876	     678.986	       1.509	 31.402258	 -85.989602                                                                                               
240	21500	Erie, PA Metro Area	1	2069952475	1965847815	     799.213	     759.018	 42.117952	 -80.096386                                                                                                  
106	21580	Española, NM Micro Area	2	15179716420	91476941	    5860.922	      35.319	 36.509669	-106.693983                                                                                               
390	21900	Fairmont, WV Micro Area	2	799642461	7186185	     308.744	       2.775	 39.505839	 -80.243402                                                                                                  
244	22020	Fargo, ND-MN Metro Area	1	7278461047	26723811	    2810.230	      10.318	 46.914859	 -96.960183                                                                                                
378	22060	Faribault-Northfield, MN Micro Area	2	1284229903	52055569	     495.844	      20.099	 44.350943	 -93.298503                                                                                    
476	22100	Farmington, MO Micro Area	2	1170437420	7160607	     451.908	       2.765	 37.810707	 -90.473868                                                                                               
246	22180	Fayetteville, NC Metro Area	1	2700387017	19383292	    1042.625	       7.484	 35.037956	 -78.982209                                                                                            
456	22280	Fernley, NV Micro Area	2	5183173279	59602530	    2001.234	      23.013	 39.022213	-119.197425                                                                                                 
248	22300	Findlay, OH Micro Area	2	1376210233	5959837	     531.358	       2.301	 41.000471	 -83.666034                                                                                                  
220	22420	Flint, MI Metro Area	1	1649729500	32693085	     636.964	      12.623	 43.021077	 -83.706372                                                                                                   
368	22620	Forrest City, AR Micro Area	2	1644111365	20049932	     634.795	       7.741	 35.014026	 -90.742138                                                                                            
290	22840	Fort Payne, AL Micro Area	2	2012664315	4121538	     777.094	       1.591	 34.460929	 -85.803992                                                                                               
217	22860	Fort Polk South, LA Micro Area	2	3439275960	35153783	    1327.912	      13.573	 31.110563	 -93.181520                                                                                         
258	23060	Fort Wayne, IN Metro Area	1	3524916108	18669918	    1360.978	       7.208	 41.006999	 -85.216424                                                                                              
320	23140	Frankfort, IN Micro Area	2	1049119210	461117	     405.067	       0.178	 40.305944	 -86.477567                                                                                                 
336	23180	Frankfort, KY Micro Area	2	1060818733	17337100	     409.584	       6.694	 38.120504	 -84.938336                                                                                               
466	23300	Freeport, IL Micro Area	2	1462175612	1385929	     564.549	       0.535	 42.349726	 -89.665994                                                                                                 
420	23340	Fremont, NE Micro Area	2	1369377419	36983845	     528.720	      14.280	 41.577008	 -96.645853                                                                                                 
260	23420	Fresno, CA Metro Area	1	15433177265	135374444	    5958.783	      52.268	 36.761006	-119.655019                                                                                                
273	23500	Gaffney, SC Micro Area	2	1017058336	11701051	     392.688	       4.518	 35.049796	 -81.607647                                                                                                 
264	23540	Gainesville, FL Metro Area	1	3172084248	257185421	    1224.749	      99.300	 29.677981	 -82.479971                                                                                            
122	23580	Gainesville, GA Metro Area	1	1017306117	94561948	     392.784	      36.511	 34.317588	 -83.818497                                                                                             
206	23620	Gainesville, TX Micro Area	2	2265775274	61333916	     874.821	      23.681	 33.639196	 -97.210343                                                                                             
456	23820	Gardnerville Ranchos, NV Micro Area	2	1838170211	72317570	     709.722	      27.922	 38.905129	-119.609019                                                                                    
396	23860	Georgetown, SC Micro Area	2	2107183538	572535186	     813.588	     221.057	 33.417531	 -79.296333                                                                                             
276	23900	Gettysburg, PA Metro Area	1	1343394713	7889265	     518.688	       3.046	 39.869471	 -77.217730                                                                                               
150	23980	Glasgow, KY Micro Area	2	2012911615	36258737	     777.190	      14.000	 36.967571	 -85.815497                                                                                                 
104	24020	Glens Falls, NY Metro Area	1	4398868113	204809826	    1698.413	      79.078	 43.440450	 -73.636757                                                                                            
233	24060	Glenwood Springs, CO Micro Area	2	10148185172	27896278	    3918.236	      10.771	 39.509542	-107.667311                                                                                       
104	24100	Gloversville, NY Micro Area	2	1283234679	96916405	     495.460	      37.420	 43.115609	 -74.423678                                                                                            
266	24340	Grand Rapids-Wyoming, MI Metro Area	1	6914590731	2930527343	    2669.739	    1131.483	 42.978632	 -85.811208                                                                                  
106	24380	Grants, NM Micro Area	2	11758240097	5819742	    4539.882	       2.247	 34.932050	-108.000374                                                                                                  
366	24420	Grants Pass, OR Metro Area	1	4244087602	5629247	    1638.651	       2.173	 42.386981	-123.571626                                                                                              
216	24540	Greeley, CO Metro Area	1	10326716698	76543505	    3987.168	      29.554	 40.555961	-104.383666                                                                                                
267	24580	Green Bay, WI Metro Area	1	4841657544	2536868348	    1869.375	     979.490	 44.473961	 -87.995926                                                                                             
521	24640	Greenfield Town, MA Micro Area	2	1810952650	65556538	     699.213	      25.312	 42.584504	 -72.591792                                                                                         
268	24660	Greensboro-High Point, NC Metro Area	1	5163682287	69026583	    1993.709	      26.651	 36.025204	 -79.792633                                                                                   
294	24700	Greensburg, IN Micro Area	2	964946206	1955471	     372.568	       0.755	 39.305980	 -85.499831                                                                                                
274	24780	Greenville, NC Metro Area	1	1689619168	8248766	     652.366	       3.185	 35.592965	 -77.373138                                                                                               
212	24820	Greenville, OH Micro Area	2	1549120893	4245786	     598.119	       1.639	 40.131542	 -84.621248                                                                                               
273	24860	Greenville-Anderson-Mauldin, SC Metro Area	1	7020913087	200411862	    2710.790	      77.379	 34.683709	 -82.413423                                                                            
273	24940	Greenwood, SC Micro Area	2	2448090458	74346298	     945.213	      28.705	 34.190755	 -82.296677                                                                                               
